"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","Altman Z-score","Piotroski F-score","Modified C-score","Current PE","Median PE","Current PB","Median PB","Earning Yield (%)","PEG","Median Duration"
"Secure Earth Technologies Ltd.","Technology","Computer Software","-0.52","3","5","-","-","-","-","3.86","-","-"
"Sequel E-Routers Ltd.","Technology","Computer Software","-5.76","7","3","102.28","160.61","1.84","3.16","1.26","3.46","3-Y"
"Sequelsoft India Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Seshachal Technologies Ltd","Technology","Computer Software","-14.47","8","2","47.61","50.21","2.56","0.86","0.77","-1.25","3-Y"
"Shonkh Technologies International Ltd.","Technology","Computer Software","5.47","2","5","-","-","-","-","0.02","-","-"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","340.04","5","2","187.14","127.06","1.14","1.22","0.54","-4.82","3-Y"
"Shukla Data Technics Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Sibar Software Services (India) Ltd.","Technology","Computer Software","-0.48","5","4","-","-","-","-","0.01","-","-"
"Silverline Technologies Ltd.","Technology","Computer Software","2.45","5","5","-","-","-","-","-9.04","-","-"
"Skylid Telecommunication Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","19.77","7","3","40.07","13.98","0.75","0.38","-14.12","-1.8","5-Y"
"Sofcom Systems Ltd.","Technology","Computer Software","-","-","-","234.19","-","3.77","-","0.36","-","-"
"Softbpo Global Services Ltd.","Technology","Computer Software","-9.83","1","3","-","-","-","-","-1.75","-","-"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","3.53","3","3","5.75","10.83","0.24","0.48","2.49","-0.16","3-Y"
"Softrak Technology Exports Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Softsol India Ltd.","Technology","Computer Software","12.51","4","2","64.74","46.75","0.58","0.46","3.48","-1.48","5-Y"
"Software Technology Group International Ltd.","Technology","Computer Software","1.04","4","3","-","89.32","0.34","0.46","-4.98","-","5-Y"
"Sonata Software Ltd.","Technology","Computer Software","8.67","6","5","12.4","7.92","3.69","0.97","13.24","0.83","5-Y"
"Spanco Ltd.","Technology","Computer Software","-2.66","2","0","-","-","-","-","-24.6","-","-"
"Sparc Systems Ltd.","Technology","Computer Software","20.4","5","5","-","10.12","0.5","0.37","-43.65","-","5-Y"
"Spectacle Infotek Ltd.","Technology","Computer Software","-0.19","3","3","-","66.65","24.61","2.56","-104.14","-","5-Y"
"SQL Star International Ltd.","Technology","Computer Software","-8.87","2","3","-","-","-","-","-30.68","-","-"
"SQS India BFSI Ltd.","Technology","Computer Software","25.58","4","1","41.77","10.51","9.39","1.08","3.91","0.14","5-Y"
"Sriven Multi-Tech Ltd.","Technology","Computer Software","-0.73","3","2","-","-","-","-","4.44","-","-"
"Sterling International Enterprises Ltd.","Technology","Computer Software","3.03","8","1","1.61","9.57","0.03","0.09","17.19","-0.05","5-Y"
"Stocknet International Ltd.","Technology","Computer Software","7.56","3","4","-","-","-","-","-6.05","-","-"
"Subex Ltd.","Technology","Computer Software","1.06","8","3","14.87","5.83","0.94","0.99","7.5","-0.47","5-Y"
"Sugam Agro-Tech Ltd.","Technology","Computer Software","-6.97","2","6","-","-","-","-","-0.07","-","-"
"Svam Softwares Ltd.","Technology","Computer Software","6.24","8","3","6.17","28.55","0.05","0.11","-86.28","1.15","5-Y"
"Systel Infotech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"T Spiritual World Ltd.","Technology","Computer Software","15.89","6","1","9.26","11.78","0.06","0.08","11.16","-0.45","5-Y"
"Taksheel Solutions Ltd.","Technology","Computer Software","9.17","3","5","-","-","-","-","149.84","-","-"
"Tata Consultancy Services Ltd.","Technology","Computer Software","28.5","3","0","22.82","23.42","7.87","8.57","1.39","0.55","5-Y"
"Tata Elxsi Ltd.","Technology","Computer Software","30.96","8","2","54.03","23.22","20.01","4","2.89","1.2","5-Y"
"Tech Mahindra Ltd.","Technology","Computer Software","11.07","2","2","18.39","13.55","3.66","2.82","2.07","0.33","5-Y"
"Teledata Informatics Ltd.","Technology","Computer Software","4.49","4","5","-","-","-","-","-0.27","-","-"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","5.57","2","4","-","-","-","-","5.53","-","-"
"Teledata Technology Solutions Ltd","Technology","Computer Software","4.94","3","2","-","-","-","-","-0.48","-","-"
"Telesys Software Ltd.","Technology","Computer Software","2.85","3","5","-","-","-","-","0.24","-","-"
"Tera Software Ltd.","Technology","Computer Software","5.42","7","1","19.77","7.88","1.65","0.67","10.45","-1.6","5-Y"
"Top Media Entertainment Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Total Exports Ltd.","Technology","Computer Hardware","17.87","3","5","-","11.43","7.68","8.05","-1.06","-","5-Y"
"Transtream India. com Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Trigyn Technologies Ltd.","Technology","Computer Software","10.71","4","3","9.42","3.16","0.98","0.45","6.61","0.26","5-Y"
"Tutis Technologies Ltd.","Technology","Computer Software","-4.43","2","4","-","-","-","-","-5.22","-","-"
"TVS Electronics Ltd. [Merged]","Technology","Computer Hardware","-","-","-","-","-","-","-","-","-","-"
"Twinstar Industries Ltd.","Technology","Computer Software","2.49","8","3","7.34","5.59","0.17","0.12","18.09","-0.78","5-Y"
"Typhoon Holdings Ltd.","Technology","Computer Software","346.22","4","5","-","-","-","-","-9.69","-","-"
"Uniport Computers Ltd.","Technology","Computer Hardware","7.4","3","4","-","-","-","-","0","-","-"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","1.74","4","3","286.68","345.09","1.68","7.48","2.04","75.78","5-Y"
"United Interactive Ltd.","Technology","Computer Software","6.66","6","4","280.37","-","13.93","-","0.55","-","-"
"Universal Media Network Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"USG Tech Solutions Ltd.","Technology","Computer Software","5.22","8","6","18.69","225.68","0.2","0.79","2.86","0.18","3-Y"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","4.51","2","3","-","56.52","0.44","0.97","-19.68","-","5-Y"
"Vaishnavi Gold Ltd.","Technology","Computer Software","5.15","6","3","51.4","20.79","0.08","0.36","0.19","-0.71","5-Y"
"Vakrangee Ltd.","Technology","Computer Software","18.45","6","1","26.94","28.38","6.77","6.21","6.34","0.24","5-Y"
"Valuemart Info Technologies Ltd","Technology","Computer Software","4.9","7","3","-","-","-","-","38.67","-","-"
"Vantech Industry Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Vantel Technologies Ltd.","Technology","Computer Software","3.7","1","4","-","-","-","-","-","-","-"
"VCU Data Management Ltd.","Technology","Computer Software","2.07","6","3","44.07","45.72","1.5","1.64","0.34","0.28","1-Y"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","3.25","4","3","13.37","3.98","1.79","0.32","10.76","0.24","5-Y"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","6.62","6","2","0.8","8.7","0.07","0.15","130.64","0.06","3-Y"
"Vertex Spinning Ltd.","Technology","Computer Software","2.52","5","2","-","432.29","0.4","0.81","-8.27","-","5-Y"
"Vintron Informatics Ltd.","Technology","Computer Hardware","5.15","7","5","-","13.67","3.4","4.47","-0.93","-","5-Y"
"Virgo Global Media Ltd.","Technology","Computer Software","2.04","4","2","-","65.35","8.2","6.18","-0.1","-","5-Y"
"Virinchi Technologies Ltd.","Technology","Computer Software","5.82","7","2","12.29","3.92","0.88","0.19","11.73","0.66","5-Y"
"Virtualsoft Systems Ltd.","Technology","Computer Software","-4.1","4","1","3.11","-","30.47","-","-21.84","-","-"
"Visesh Infotecnics Ltd.","Technology","Computer Software","1.82","6","1","-","25.95","0.07","0.2","-11.86","-","3-Y"
"Visu International Ltd","Technology","Computer Software","-6.05","6","3","-","10.33","4.75","0.09","-5.21","-","5-Y"
"Visualsoft Technologies Ltd.","Technology","Computer Software","5.52","7","4","-","-","-","-","-11.42","-","-"
"VJIL Consulting Ltd.","Technology","Computer Software","-2.86","7","2","25.67","14.25","-3.35","2.12","3.22","0.87","5-Y"
"VXL Instruments Ltd.","Technology","Computer Hardware","-0.53","5","3","-","6.15","2.69","2.14","-29.84","-","5-Y"
"Watson Software Ltd.","Technology","Computer Software","4.46","3","6","-","-","-","-","0","-","-"
"Websity Infosys Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Wipro Ltd.","Technology","Computer Software","12.89","4","2","15.45","17.12","3.17","3.76","9.44","0.71","5-Y"
"Women Networks Ltd.","Technology","Computer Software","5.64","6","0","-","147.59","0.19","0.54","-1.09","-","5-Y"
"Xchanging Solutions Ltd.","Technology","Computer Software","8.12","5","1","92.7","26.44","3.37","1.37","2.5","-3.42","5-Y"
"XO Infotech Ltd.","Technology","Computer Hardware","3.86","4","3","-","225.57","0.14","0.28","0.64","-","3-Y"
"Zen Technologies Ltd.","Technology","Computer Software","20.58","5","3","24.51","13.02","7.68","1.18","5.08","0.13","5-Y"
"Zenith Computers Ltd.","Technology","Computer Hardware","-10.15","3","4","-","11.72","-0.06","0.64","-22.52","-","5-Y"
"Zenith Infotech Ltd.","Technology","Computer Software","1.54","3","3","-","-","-","-","-34.85","-","-"
"Zensar Technologies Ltd.","Technology","Computer Hardware","11.3","4","0","15.03","6.25","3.46","1.7","9.61","0.4","5-Y"
"Zigma Software Ltd.","Technology","Computer Software","15.22","2","3","-","-","-","-","-3.47","-","-"
"Zylog Systems Ltd.","Technology","Computer Software","-6.13","4","4","-","4.5","-0.06","0.31","-40.35","-","5-Y"
